Name,Form
Abbadon,NA
Akaina,NA
Alexander,NA
Alma,NA
Andrzelika,NA
Ardena,NA
Arkhan,NA
Bastian,NA
Benjamin,NA
Bhakti,NA
Boromir,NA
Brian,NA
Carmen,NA
Carmena,NA
Chiara,NA
Clea,NA
Cynthia,NA
Dajana,NA
Emaus,NA
Ewan,NA
Herrada,NA
Jaila,NA
Joshua,NA
Julka,NA
Karla,NA
Klea,NA
Krystina,NA
Kuba,f
Lester,NA
Lilith,NA
Lorina,NA
Majka,NA
Malta,NA
Martin,NA
Martyn,NA
Maxymilian,NA
Maya,NA
Merlin,NA
Montezuma,NA
Morena,NA
Natasha,NA
Nicol,f
Nicole,f
Nika,NA
Nikol,f
Nikol,m
Nikola,m
Ole,NA
Opieniek,NA
Pacyfik,NA
Pakita,NA
Poziomka,NA
Radek,NA
Rener,NA
Ricardo,NA
Sofia,NA
Tea,NA
Teonika,NA
Tonia,NA
Tupak,NA
Una,NA
Unka,NA
Veronika,NA
Victoria,NA
Violeta,NA
Violetta,NA
Wilga,NA
Wilk,NA
William,NA
Xymena,NA
