Name,Form
Abigail,NA
Adriana,NA
Adrianna,NA
Aleks,NA
Andrea,NA
Andrzeja,NA
Aneta,NA
Anetta,NA
Anika,NA
Annika,NA
Antonia,NA
Arian,NA
Ariana,NA
Arianna,NA
Arleta,NA
Arletta,NA
Bernadeta,NA
Bernadetta,NA
Bożena,NA
Bożenna,NA
Brajan,NA
Cyntia,NA
Domicela,NA
Domicella,NA
Izabela,NA
Izabella,NA
Jagna,NA
Jagoda,NA
Jessica,NA
Jozue,NA
Kamila,NA
Kamilla,NA
Karmen,f
Kewin,NA
Klaudian,NA
Koryna,NA
Korynna,NA
Ksymena,NA
Kuba,NA
Liliana,NA
Lilianna,NA
Lotar,NA
Maks,NA
Marcjana,NA
Marcjanna,NA
Marieta,NA
Marietta,NA
Marika,NA
Martyna,NA
Marzena,NA
Marzenna,NA
Mirela,NA
Mirella,NA
Natan,NA
Nataniel,NA
Nel,NA
Nikola,NA
Nikoleta,NA
Nikoletta,NA
Noemi,NA
Odetta,NA
Pamela,NA
Petronela,NA
Petronella,NA
Rajner,NA
Stela,NA
Stella,NA
Sylwana,NA
Syntia,NA
Wiliam,NA
Wincent,NA
Wioleta,NA
Wioletta,NA
