Cleaner,Final
Cecyuan \,Cecylian
Fabrycjlłsz,Fabrycjusz
Florenojusz,Florencjusz
Flofentyn,Florentyn
Gerwll,Gerwin
Dzisław,Godzisław
Domilosław,Domasław
Rdzismw,Idzisław
Ja enty,Jacenty
J ędrzy<ih,Jędrzych
J6zafat,Józafat
Uwentyn,Juwentyn
¥=onstanty,Konstanty
Lazarz,Łazarz
Matceliall,Marcelian
Yiesław,Miesław
Łiilan,Milan
Miłosł-a,Miłosław
Włosz,Miłosz
Włowan,Miłowan
Lfiłowit,Miłowit
Lfirogniew,Mirogniew
Wron,Miron
Mścwaw,Mścisław
Niemu,Niemir
Przemyęła w,Przemysław
Robep,Robert
Roclaw,Rocław
Rónald,Ronald
Siooiesław,Sieciesław
Suhbor,Solibor
Więtomir,Świętomir
Witaiis,Witalis
Więtopełek,Świętopełek
Świętos aw,Świętosław
T qfil,Teofil
Zdzisla w,Zdzisław
Robep;,Robert
