Name,Form,Popular
Abdon,m,FALSE
Abel,m,FALSE
Abelard,m,FALSE
Abraham,m,FALSE
Achacjusz,m,FALSE
Achacy,m,FALSE
Achilles,m,FALSE
Ada,f,FALSE
Adam,m,TRUE
Adela,f,FALSE
Adelajda,f,FALSE
Adelina,f,FALSE
Adolf,m,FALSE
Adolfa,f,FALSE
Adolfina,f,FALSE
Adrian,m,FALSE
Adriana,f,FALSE
Agapit,m,FALSE
Agata,f,TRUE
Agaton,m,FALSE
Agnieszka,f,TRUE
Agrypin,m,FALSE
Agrypina,f,FALSE
Aida,f,FALSE
Akwila,f,FALSE
Akwilina,f,FALSE
Alan,m,FALSE
Alana,f,FALSE
Albert,m,TRUE
Alberta,f,FALSE
Albertyna,f,FALSE
Albin,m,FALSE
Albina,f,FALSE
Albrecht,m,FALSE
Aldona,f,TRUE
Aleksa,f,FALSE
Aleksander,m,TRUE
Aleksandra,f,TRUE
Aleksy,m,FALSE
Alfons,m,FALSE
Alfred,m,TRUE
Alfreda,f,FALSE
Alicja,f,TRUE
Alida,f,FALSE
Alina,f,TRUE
Alodia,f,FALSE
Alojza,f,FALSE
Alojzy,m,TRUE
Amadeusz,m,FALSE
Amalia,f,FALSE
Amanda,f,FALSE
Ambroży,m,FALSE
Amelia,f,FALSE
Ananiasz,m,FALSE
Anastazja,f,FALSE
Anastazy,m,FALSE
Anatol,m,FALSE
Anatola,f,FALSE
Anda,f,FALSE
Andrzej,m,TRUE
Aneta,f,FALSE
Angelika,f,FALSE
Angelina,f,FALSE
Aniana,f,FALSE
Anicet,m,FALSE
Aniceta,f,FALSE
Aniela,f,TRUE
Anita,f,FALSE
Anna,f,TRUE
Antoni,m,TRUE
Antonina,f,TRUE
Anzelm,m,FALSE
Anzelma,f,FALSE
Apolinary,m,FALSE
Apollo,m,FALSE
Apolonia,f,FALSE
Apoloniusz,m,FALSE
Areta,f,FALSE
Ariadna,f,FALSE
Arieta,f,FALSE
Arkadiusz,m,FALSE
Arkady,m,FALSE
Armin,m,FALSE
Arnold,m,FALSE
Arnolda,f,FALSE
Aron,m,FALSE
Artur,m,TRUE
Aspazja,f,FALSE
Aspazjusz,m,FALSE
Asta,f,FALSE
Astra,f,FALSE
Astryda,f,FALSE
Atanazja,f,FALSE
Atanazy,m,FALSE
August,m,TRUE
Augusta,f,FALSE
Augustyn,m,TRUE
Augustyna,f,FALSE
Aurelia,f,FALSE
Aurelian,m,TRUE
Aureliana,f,FALSE
Aureliusz,m,FALSE
Balbina,f,FALSE
Baldwin,m,FALSE
Baldwina,f,FALSE
Balladyna,f,FALSE
Baltazar,m,FALSE
Barabasz,m,FALSE
Barbara,f,TRUE
Barnaba,m,FALSE
Barnim,m,FALSE
Bartosz,m,TRUE
Bartłomiej,m,TRUE
Bazyli,m,FALSE
Beata,f,TRUE
Beatrycze,f,FALSE
Bega,f,FALSE
Belinda,f,FALSE
Benedykt,m,TRUE
Benedykta,f,FALSE
Beniamin,m,FALSE
Beniamina,f,FALSE
Benigna,f,FALSE
Benita,f,FALSE
Benon,m,FALSE
Benwenut,m,FALSE
Benwenuta,f,FALSE
Berenika,f,FALSE
Bernadeta,f,FALSE
Bernard,m,TRUE
Bernarda,f,FALSE
Bertold,m,FALSE
Bertram,m,FALSE
Bianka,f,FALSE
Bibiana,f,FALSE
Biruta,f,FALSE
Blandyna,f,FALSE
Blanka,f,FALSE
Blizbor,m,FALSE
Bogdan,m,TRUE
Bogdana,f,TRUE
Bogna,f,FALSE
Boguchwał,m,FALSE
Bogumił,m,TRUE
Bogumiła,f,TRUE
Bogurad,m,FALSE
Bogurada,f,FALSE
Bogusz,m,TRUE
Bogusław,m,TRUE
Bogusława,f,TRUE
Bohdan,m,FALSE
Bohdana,f,FALSE
Bojan,m,FALSE
Bojana,f,FALSE
Bolemir,m,FALSE
Bolemira,f,FALSE
Bolemysł,m,FALSE
